,nb_uniq_visitors,nb_visits,nb_users,nb_actions,max_actions,bounce_count,sum_visit_length,Referrers_visitorsFromSearchEngines,Referrers_visitorsFromSocialNetworks,Referrers_visitorsFromDirectEntry,Referrers_visitorsFromWebsites,Referrers_visitorsFromCampaigns,Referrers_distinctSearchEngines,Referrers_distinctSocialNetworks,Referrers_distinctKeywords,Referrers_distinctWebsites,Referrers_distinctWebsitesUrls,Referrers_distinctCampaigns,Referrers_visitorsFromDirectEntry_percent,Referrers_visitorsFromSearchEngines_percent,Referrers_visitorsFromCampaigns_percent,Referrers_visitorsFromSocialNetworks_percent,Referrers_visitorsFromWebsites_percent,nb_conversions,nb_visits_converted,revenue,conversion_rate,nb_pageviews,nb_uniq_pageviews,nb_downloads,nb_uniq_downloads,nb_outlinks,nb_uniq_outlinks,nb_searches,nb_keywords,nb_hits_with_time_generation,avg_time_generation,bounce_rate,nb_actions_per_visit,avg_time_on_site,avg_time_on_site_returning,nb_actions_per_visit_returning,bounce_rate_returning,avg_time_on_site_new,nb_actions_per_visit_new,bounce_rate_new,nb_visits_new,nb_actions_new,nb_uniq_visitors_new,nb_users_new,max_actions_new,nb_visits_returning,nb_actions_returning,nb_uniq_visitors_returning,nb_users_returning,max_actions_returning,nb_conversions_new_visit,nb_visits_converted_new_visit,revenue_new_visit,conversion_rate_new_visit,nb_conversions_returning_visit,nb_visits_converted_returning_visit,revenue_returning_visit,conversion_rate_returning_visit
2019-05-23,21258,22929,200,249399,15337,11554,3282300,13709,206,6302,2708,4,14,7,474,422,681,2,0%,0%,0%,0%,0%,11676,4930,0,21.5%,164399,121396,8334,7085,4203,3613,72463,500,45657,0.663,50%,10.9,143,224,29.4,45%,111,3.5,53%,16412,57985,16409,56,3359,6517,191414,5561,151,15337,5586,3365,0,20.5%,6090,1565,0,24.01%
2019-05-24,18466,19913,167,207213,14840,10112,2746023,11980,173,5413,2347,0,14,6,479,354,580,0,0%,0%,0%,0%,0%,8712,4198,0,21.08%,134875,97301,6945,5865,3761,3193,61632,500,39220,0.657,51%,10.4,138,209,25.6,45%,109,4.1,53%,14107,58395,14095,41,14840,5806,148818,4988,130,7864,5127,2893,0,20.51%,3585,1305,0,22.48%
2019-05-25,8574,9087,58,117123,10301,4617,1216741,5771,148,1897,1271,0,11,6,177,210,296,0,0%,0%,0%,0%,0%,5026,2391,0,26.31%,77519,55207,2580,2190,2059,1695,34965,500,17994,0.595,51%,12.9,134,227,49.5,49%,109,3.3,51%,7200,23677,7188,20,2177,1887,93446,1625,39,10301,3126,1821,0,25.29%,1900,570,0,30.21%
2019-05-26,13735,14468,60,153445,24838,8288,1450849,10531,226,2148,1562,1,11,6,299,238,360,1,0%,0%,0%,0%,0%,5087,2812,0,19.44%,97890,67005,3242,2744,2271,1901,50042,500,25876,0.589,57%,10.6,100,203,50.5,53%,80,2.8,58%,12087,33280,12085,24,1911,2381,120165,2070,38,24838,3651,2190,0,18.12%,1436,622,0,26.12%
2019-05-27,27572,29701,189,301439,24344,15764,3735298,20383,321,6160,2836,1,13,5,644,400,710,1,0%,0%,0%,0%,0%,10549,5377,0,18.1%,188075,132915,9827,8431,4874,4105,98663,500,56793,0.631,53%,10.1,126,216,30.7,46%,95,3,55%,22067,66915,22049,49,2629,7634,234524,6443,147,24344,5986,3803,0,17.23%,4563,1574,0,20.62%
2019-05-28,22424,24295,192,278565,15192,12286,3526380,15568,288,5723,2715,1,14,8,553,381,641,1,0%,0%,0%,0%,0%,11539,4972,0,20.47%,181613,134852,9008,7661,4452,3780,83492,500,49320,0.697,51%,11.5,145,226,29.3,45%,113,4.3,53%,17305,73807,17298,48,8467,6990,204758,5908,150,15192,5981,3441,0,19.88%,5558,1531,0,21.9%
2019-05-29,21728,23640,201,308014,20238,10670,3554999,15445,470,4880,2845,0,14,6,528,348,569,0,0%,0%,0%,0%,0%,17783,7208,0,30.49%,194169,144389,7740,6630,6045,5042,100060,500,52408,0.93,45%,13,150,219,33.9,44%,125,5.2,45%,17220,90331,17214,82,10164,6420,217683,5467,136,20238,10286,5443,0,31.61%,7497,1765,0,27.49%
2019-05-30,10581,11336,85,147199,8831,5682,1606866,7368,169,2308,1490,1,11,8,244,235,366,1,0%,0%,0%,0%,0%,7792,3078,0,27.15%,95238,71343,3418,2846,2579,2072,45964,500,23302,0.64,50%,13,142,236,43.6,49%,113,3.5,50%,8660,30539,8658,28,3193,2676,116660,2301,60,8831,3965,2261,0,26.11%,3827,817,0,30.53%
2019-05-31,11389,12226,83,157570,21339,6289,1751649,8012,277,2488,1448,1,16,7,270,261,414,1,0%,0%,0%,0%,0%,7771,2918,0,23.87%,106466,78716,4147,3505,2482,2073,44475,500,25190,0.633,51%,12.9,143,250,37.8,46%,105,3.8,53%,8970,34384,8970,23,2397,3256,123186,2810,68,21339,3563,2052,0,22.88%,4208,866,0,26.6%
2019-06-01,7366,7841,54,116078,10608,4139,979769,5098,216,1582,945,0,13,4,165,169,230,0,0%,0%,0%,0%,0%,5509,2052,0,26.17%,82692,64290,1902,1637,1708,1391,29776,500,14978,0.611,53%,14.8,125,212,53.5,51%,99,3.5,53%,6065,21067,6064,12,2073,1776,95011,1509,44,10608,2710,1519,0,25.05%,2799,533,0,30.01%
2019-06-02,8463,9169,50,180976,28596,4919,1148245,5954,98,1755,1362,0,13,6,215,208,286,0,0%,0%,0%,0%,0%,7189,2373,0,25.88%,112984,59626,2353,2026,1799,1511,63840,500,17591,0.637,54%,19.7,125,209,78.3,54%,101,3.2,54%,7153,23033,7036,21,3783,2016,157943,1691,32,28596,3050,1801,0,25.18%,4139,572,0,28.37%
2019-06-03,17734,19733,213,4924167,4557207,10967,2557306,11651,77,5366,2639,0,13,4,450,375,621,0,0%,0%,0%,0%,0%,14283,4222,0,21.4%,3277251,117521,5919,5142,3434,2975,1637563,500,34194,0.593,56%,249.5,130,198,833.6,53%,101,5.1,57%,13910,70262,13650,55,15967,5823,4853905,4656,165,4557207,5468,2922,0,21.01%,8815,1300,0,22.33%
2019-06-04,20038,21678,193,245707,11689,10799,3147557,13864,80,5040,2694,0,13,8,523,409,676,0,0%,0%,0%,0%,0%,12887,4787,0,22.08%,163748,122970,7429,6366,4182,3538,70348,500,42711,0.726,50%,11.3,145,222,26.4,45%,114,5.2,52%,15382,79727,15379,52,5166,6296,165980,5340,150,11689,6426,3301,0,21.46%,6461,1486,0,23.6%
2019-06-05,20042,21636,218,248464,14385,10719,3076612,14080,169,4838,2543,6,16,5,564,389,679,1,0%,0%,0%,0%,0%,12323,4763,0,22.01%,169392,124919,7577,6481,4311,3675,67184,500,43462,0.576,50%,11.5,142,223,30.1,45%,109,3.8,52%,15306,57982,15304,52,4733,6330,190482,5375,175,14385,5459,3286,0,21.47%,6864,1477,0,23.33%
2019-06-06,19147,20697,201,239379,7669,10383,3039948,13047,236,4872,2530,12,12,6,510,380,650,3,0%,0%,0%,0%,0%,10087,4342,0,20.98%,161025,118150,7383,6266,4007,3461,66964,500,41076,0.586,50%,11.6,147,234,30.2,45%,110,3.8,52%,14581,54754,14580,48,2947,6116,184625,5206,161,7669,4857,2962,0,20.31%,5230,1380,0,22.56%
2019-06-07,16538,17872,166,217256,11763,8886,2532452,11604,273,3771,2212,12,12,5,440,360,576,3,0%,0%,0%,0%,0%,9340,3897,0,21.81%,143981,107151,5960,5072,3464,2959,63851,500,35865,0.637,50%,12.2,142,222,31.4,46%,108,3.9,51%,12525,49199,12523,42,2948,5347,168057,4541,131,11763,4374,2672,0,21.33%,4966,1225,0,22.91%
2019-06-08,7771,8165,63,115117,7862,4217,991103,5374,84,1673,1029,5,12,7,171,186,268,1,0%,0%,0%,0%,0%,4717,2259,0,27.67%,76575,58628,2120,1782,1784,1463,34638,500,16275,0.617,52%,14.1,121,200,50.7,51%,100,4.2,52%,6429,27101,6428,19,2517,1736,88016,1547,46,7862,2914,1734,0,26.97%,1803,525,0,30.24%
2019-06-09,8220,8721,64,126816,9998,4407,1156290,5761,49,1717,1188,6,12,5,197,219,341,1,0%,0%,0%,0%,0%,4664,2297,0,26.34%,85041,67424,2458,2097,1918,1584,37399,500,17165,0.632,51%,14.5,133,240,56.7,50%,104,3.3,51%,6885,22781,6885,26,2727,1836,104035,1604,42,9998,2914,1756,0,25.5%,1750,541,0,29.47%
2019-06-10,1,1,0,1,1,1,0,0,0,1,0,0,,,,,,,0%,0%,0%,0%,0%,0,0,0,0%,0,0,0,0,0,0,1,1,,,100%,1,0,0,0,0%,0,1,100%,1,1,1,0,1,,,,,,0,2392,0,"239,200%",0,811,0,0%
2019-06-11,19646,21205,203,263541,9329,10537,2999067,13892,98,4744,2459,12,15,4,590,408,670,2,0%,0%,0%,0%,0%,9534,4584,0,21.62%,177716,135788,7294,6278,4192,3523,74339,500,42991,0.596,50%,12.4,141,217,32.1,45%,111,4.5,52%,15095,67509,15093,53,4735,6110,196032,5172,160,9329,5347,3199,0,21.19%,4187,1385,0,22.67%
2019-06-12,19283,20820,174,229566,10814,10413,3045943,13602,99,4673,2437,9,13,5,536,409,659,3,0%,0%,0%,0%,0%,8878,4527,0,21.74%,151254,110547,7237,6192,4033,3430,67042,500,41290,0.603,50%,11,146,230,30.3,45%,112,3.2,52%,14794,47258,14792,34,2580,6026,182308,5116,149,10814,4875,3143,0,21.25%,4003,1384,0,22.97%
2019-06-13,19046,20575,181,224121,7482,10467,2875796,13181,160,4872,2352,10,13,5,490,388,655,2,0%,0%,0%,0%,0%,8748,4245,0,20.63%,145596,107636,7045,6006,3887,3305,67593,500,40337,0.589,51%,10.9,140,218,29.1,45%,109,3.6,53%,14699,52910,14698,45,4823,5876,171211,5002,147,7482,4710,2926,0,19.91%,4038,1319,0,22.45%
2019-06-14,17422,18692,176,218084,11843,9827,2511787,11891,133,4503,2164,1,12,4,470,371,693,1,0%,0%,0%,0%,0%,8080,3795,0,20.3%,148368,111851,6035,5154,3300,2836,60381,500,35240,0.578,53%,11.7,134,215,33.4,47%,104,3.4,55%,13543,46027,13543,37,3135,5149,172057,4435,142,11843,4097,2614,0,19.3%,3983,1181,0,22.94%
2019-06-15,8262,8738,73,119831,14941,4469,1171952,5822,60,1634,1222,0,13,6,201,198,285,0,0%,0%,0%,0%,0%,5671,2228,0,25.5%,80815,58240,2527,2137,1980,1594,34509,500,17827,0.639,51%,13.7,134,255,53.8,49%,101,2.8,52%,6869,19370,6863,23,302,1869,100461,1652,55,14941,2856,1678,0,24.43%,2815,550,0,29.43%
2019-06-16,8343,8818,46,114527,11533,4606,1150007,5934,49,1720,1113,2,10,4,207,212,312,1,0%,0%,0%,0%,0%,5382,2242,0,25.43%,74036,54529,2468,2057,1862,1533,36161,500,17475,0.647,52%,13,130,242,48,49%,101,3.8,53%,6983,26491,6981,13,3525,1835,88036,1611,34,11533,2923,1710,0,24.49%,2459,532,0,28.99%
2019-06-17,17880,19395,173,219313,7842,9612,2739325,13162,71,4002,2156,4,11,4,509,369,635,1,0%,0%,0%,0%,0%,9491,4018,0,20.72%,143761,108563,6757,5742,3741,3172,65054,500,37874,0.609,50%,11.3,141,218,29.3,46%,108,3.6,51%,13592,49187,13591,33,3132,5803,170126,4923,144,7842,4460,2717,0,19.99%,5031,1301,0,22.42%
2019-06-18,18295,19789,175,229825,9133,9911,2836002,13537,114,3983,2155,0,13,5,522,390,636,0,0%,0%,0%,0%,0%,10103,4153,0,20.99%,153726,114435,7139,6095,3856,3271,65104,500,39535,0.594,50%,11.6,143,231,32.2,45%,107,3.1,52%,13988,43070,13986,46,1789,5801,186755,4912,132,9133,4526,2826,0,20.2%,5577,1327,0,22.88%
2019-06-19,18997,20530,194,248169,14558,10164,2852365,13894,107,4108,2419,2,13,7,590,383,624,2,0%,0%,0%,0%,0%,11342,4252,0,20.71%,172478,133189,7008,6000,3950,3400,64733,500,40218,0.578,50%,12.1,139,214,34,46%,108,3.1,51%,14560,45081,14558,38,1579,5970,203088,5099,165,14558,4501,2864,0,19.67%,6841,1388,0,23.25%
2019-06-20,18582,19992,182,239366,8091,9862,2826286,13639,99,3965,2287,2,13,4,479,377,617,2,0%,0%,0%,0%,0%,10935,4182,0,20.92%,165237,129167,6859,5924,3783,3233,63487,500,39385,0.59,49%,12,141,224,32.5,45%,108,3.6,51%,14199,51054,14197,34,6810,5793,188312,4951,153,8091,4717,2861,0,20.15%,6218,1321,0,22.8%
2019-06-21,15538,16798,166,194331,7136,8356,2403407,11249,85,3373,2088,3,14,6,435,360,600,2,0%,0%,0%,0%,0%,8218,3731,0,22.21%,126192,96257,5564,4772,3402,2842,59173,500,33562,0.624,50%,11.6,143,230,31.4,46%,106,3.2,51%,11811,37804,11808,35,3441,4987,156527,4237,138,7136,4065,2551,0,21.6%,4153,1180,0,23.66%
2019-06-22,7175,7630,59,91043,7886,4092,927385,5066,29,1622,913,0,12,6,188,194,297,0,0%,0%,0%,0%,0%,3535,1933,0,25.33%,62109,47394,1852,1592,1473,1243,25609,500,14089,0.664,54%,11.9,122,216,41.8,51%,96,3.8,54%,5998,22762,5994,18,3446,1632,68281,1413,44,7886,2312,1466,0,24.44%,1223,467,0,28.62%
2019-06-23,7805,8228,65,100874,8657,4360,963356,5652,63,1544,969,0,12,4,209,196,287,0,0%,0%,0%,0%,0%,4115,2191,0,26.63%,65994,49861,2062,1704,1787,1436,31031,500,15467,0.615,53%,12.3,117,197,48.9,53%,97,3.1,53%,6576,20091,6575,18,2445,1652,80783,1457,50,8657,2837,1722,0,26.19%,1278,469,0,28.39%
2019-06-24,17665,19085,181,206399,11251,9375,2791655,12949,92,3806,2238,0,13,4,569,383,646,0,0%,0%,0%,0%,0%,7461,4146,0,21.72%,136665,104518,6727,5723,3793,3256,59214,500,37481,0.629,49%,10.8,146,237,26.4,45%,109,4.4,51%,13499,59050,13495,40,11251,5586,147349,4768,146,6984,4499,2841,0,21.05%,2962,1305,0,23.36%
2019-06-25,18279,19739,197,211050,14364,9724,2841076,13098,235,4005,2399,2,13,5,556,379,628,2,0%,0%,0%,0%,0%,7336,4358,0,22.08%,135909,99650,6893,5939,3895,3305,64353,500,39243,0.594,49%,10.7,144,221,27.1,45%,111,3.7,51%,13839,51287,13838,43,3354,5900,159763,5045,163,14364,4684,3063,0,22.13%,2652,1295,0,21.95%
2019-06-26,17324,18652,167,202576,16738,9698,2504280,12314,98,4218,2021,1,12,5,525,360,586,1,0%,0%,0%,0%,0%,7550,3948,0,21.17%,131693,97776,6319,5486,3483,2990,61081,500,35552,0.595,52%,10.9,134,219,30.3,46%,100,3,55%,13282,40032,13282,39,1955,5370,162544,4573,136,16738,4279,2744,0,20.66%,3271,1204,0,22.42%
2019-06-27,16690,18067,155,200458,8727,9342,2512117,11759,71,4332,1904,1,11,4,485,351,584,1,0%,0%,0%,0%,0%,7401,3871,0,21.43%,137067,105653,6028,5182,3592,3066,53771,500,35218,0.559,52%,11.1,139,235,30.3,45%,101,3.4,54%,12912,44007,12912,33,4719,5155,156451,4351,128,8727,4184,2645,0,20.48%,3217,1226,0,23.78%
2019-06-28,13728,14751,143,164775,10867,7493,1900851,10126,96,3033,1495,1,11,6,479,309,488,1,0%,0%,0%,0%,0%,6108,3244,0,21.99%,109530,81305,4846,4149,2905,2437,47494,500,27688,0.622,51%,11.2,129,203,30.4,47%,98,3.1,52%,10382,32012,10380,25,1615,4369,132763,3729,123,10867,3454,2261,0,21.78%,2654,983,0,22.5%
2019-06-29,6841,7227,51,96355,8270,3827,856186,4870,27,1496,834,0,12,3,158,197,285,0,0%,0%,0%,0%,0%,3984,2000,0,27.67%,63971,48069,1736,1451,1612,1330,29036,500,13202,0.653,53%,13.3,118,204,48.6,52%,97,4.4,53%,5767,25354,5762,25,4564,1460,71001,1279,27,8270,2636,1568,0,27.19%,1348,432,0,29.59%
2019-06-30,7607,8079,59,101425,7762,4243,1007624,5548,44,1579,908,0,12,4,177,181,266,0,0%,0%,0%,0%,0%,4235,2222,0,27.5%,68543,51953,2115,1752,1822,1501,28945,500,15410,0.828,53%,12.6,125,239,51,51%,95,2.6,53%,6421,16923,6421,17,146,1658,84502,1434,42,7762,2674,1711,0,26.65%,1561,511,0,30.82%
2019-07-01,17572,19050,170,210225,11867,9465,2703409,12849,44,3921,2236,0,13,5,522,356,587,0,0%,0%,0%,0%,0%,8101,4158,0,21.83%,140804,106449,6659,5587,3746,3187,59016,500,37133,0.712,50%,11,142,233,30.8,44%,104,2.9,52%,13493,39346,13490,40,1924,5557,170879,4671,138,11867,4238,2809,0,20.82%,3863,1349,0,24.28%
2019-07-02,18102,19425,178,219496,9042,9773,2706200,13034,66,4355,1966,4,11,5,565,357,587,2,0%,0%,0%,0%,0%,9897,4211,0,21.68%,146635,113465,6489,5542,3870,3244,62502,500,38346,0.59,50%,11.3,139,220,30.5,44%,108,3.7,53%,13926,51975,13923,33,8940,5499,167521,4704,153,9042,4738,2910,0,20.9%,5159,1301,0,23.66%
2019-07-03,17233,18533,161,208264,11739,9581,2437820,12186,84,4380,1881,2,13,5,506,361,607,1,0%,0%,0%,0%,0%,9076,3914,0,21.12%,140686,107235,6257,5300,3591,3038,57730,500,34989,0.823,52%,11.2,132,228,31.6,44%,93,3.1,55%,13247,41099,13244,36,5447,5286,167165,4513,128,11739,4288,2701,0,20.39%,4788,1213,0,22.95%
2019-07-04,16500,17785,149,209530,9072,9087,2502314,11849,53,4033,1850,0,13,4,510,351,556,0,0%,0%,0%,0%,0%,8626,3785,0,21.28%,141989,109754,5945,5164,3629,3020,57967,500,34146,0.567,51%,11.8,141,210,31.3,46%,112,3.8,53%,12617,47652,12616,39,4157,5168,161878,4401,117,9072,4348,2662,0,21.1%,4278,1123,0,21.73%
2019-07-05,14894,15997,144,208946,15647,7998,2194060,11059,43,3305,1590,0,14,4,492,303,478,0,0%,0%,0%,0%,0%,8583,3713,0,23.21%,143584,95960,5102,4398,3507,2918,56753,500,30544,0.589,50%,13.1,137,230,35.3,45%,100,4.2,52%,11439,48017,11435,38,7715,4558,160929,3909,113,15647,4449,2590,0,22.64%,4134,1123,0,24.64%
2019-07-06,6920,7275,54,88858,8248,3869,819832,4958,21,1432,864,0,12,4,174,186,258,0,0%,0%,0%,0%,0%,4294,1935,0,26.6%,58257,42004,1685,1429,1555,1294,27361,500,13263,0.638,53%,12.2,113,232,49.5,51%,84,3.3,54%,5870,19274,5869,16,2886,1405,69584,1238,42,8248,2522,1528,0,26.03%,1772,407,0,28.97%
2019-07-07,8109,8524,32,107738,11505,4829,964810,5490,10,2139,885,0,13,4,183,187,272,0,0%,0%,0%,0%,0%,4665,2187,0,25.66%,73349,53736,1921,1636,1737,1413,30731,500,15338,0.596,57%,12.6,113,210,52.1,53%,92,4.1,57%,7013,28979,7010,9,4721,1511,78759,1346,25,11505,2960,1750,0,24.95%,1705,437,0,28.92%
2019-07-08,18025,19505,172,231075,13866,10127,2583610,13226,71,4338,1870,0,16,5,590,348,568,0,0%,0%,0%,0%,0%,9457,4105,0,21.05%,160878,119448,6496,5564,3666,3141,60035,500,36650,0.6,52%,11.8,132,225,33.2,45%,96,3.4,55%,13976,47617,13973,41,5148,5529,183458,4671,135,13866,4550,2840,0,20.32%,4907,1265,0,22.88%
2019-07-09,18860,20294,176,229115,8659,10571,2653415,13903,69,4255,2067,0,12,5,554,366,606,0,0%,0%,0%,0%,0%,9660,4246,0,20.92%,154186,119966,6386,5529,4001,3415,64542,500,38371,0.628,52%,11.3,131,216,29.3,46%,98,4.5,55%,14725,65968,14722,46,5191,5569,163147,4762,136,8659,5018,2912,0,19.78%,4642,1334,0,23.95%
2019-07-10,22568,24064,150,229063,9043,14177,2541346,17449,34,4665,1915,1,14,5,530,369,582,1,0%,0%,0%,0%,0%,9235,4083,0,16.97%,148481,107085,6137,5306,3692,3117,70753,500,41142,0.559,59%,9.5,106,201,32,48%,78,2.9,62%,18602,54384,18600,30,5545,5462,174679,4657,121,9043,4570,2908,0,15.63%,4665,1175,0,21.51%
2019-07-11,21939,22616,152,201032,23765,16221,1618770,10380,17,10991,1227,1,11,6,369,242,373,1,0%,0%,0%,0%,0%,7235,2684,0,11.87%,133771,101199,3932,3334,2374,2042,60955,500,26209,0.601,72%,8.9,72,201,39.6,48%,47,2.9,76%,18952,55813,18948,34,5382,3664,145219,3266,124,23765,3437,1873,0,9.88%,3798,811,0,22.13%
2019-07-12,21806,22538,109,130848,8322,16664,1542765,8401,27,12858,1251,1,10,5,383,282,444,1,0%,0%,0%,0%,0%,4008,2525,0,11.2%,88328,67729,3820,3279,2247,1939,36453,500,22312,0.766,74%,5.8,68,206,24.2,47%,43,2.4,79%,19033,45956,19033,25,8322,3505,84892,3050,89,8054,2703,1784,0,9.37%,1305,741,0,21.14%
2019-07-13,21271,21591,48,102135,8250,18276,790059,5047,27,15689,828,0,11,3,159,176,231,0,0%,0%,0%,0%,0%,3834,2013,0,9.32%,72408,57369,1608,1362,1601,1336,26518,500,13066,0.704,85%,4.7,37,195,42.3,54%,26,2.3,87%,20268,46220,20264,12,6169,1323,55915,1183,36,8250,2721,1629,0,8.04%,1113,384,0,29.02%
2019-07-14,30801,31194,47,114123,11751,27509,890694,5538,13,24765,878,0,12,4,164,185,257,0,0%,0%,0%,0%,0%,3667,2139,0,6.86%,78294,62768,1861,1582,1820,1460,32148,500,14265,0.715,88%,3.7,29,199,39.9,52%,20,1.9,90%,29762,57048,29762,16,11751,1432,57075,1283,33,9039,2834,1737,0,5.84%,833,402,0,28.07%
2019-07-15,34742,35950,127,209515,17793,27187,2412179,12061,42,21979,1868,0,14,5,525,357,562,0,0%,0%,0%,0%,0%,7250,4031,0,11.21%,140881,105578,6059,5163,3774,3155,58801,500,33529,0.792,76%,5.8,67,228,29.8,46%,41,2,80%,31007,62108,31007,26,7004,4943,147407,4236,105,17793,4433,2906,0,9.37%,2817,1125,0,22.76%
2019-07-16,20655,21894,129,183624,9474,13028,2412939,12233,37,7659,1965,0,17,4,506,334,569,0,0%,0%,0%,0%,0%,6971,3866,0,17.66%,120620,87928,6066,5220,3663,3130,53275,500,33560,0.745,60%,8.4,110,217,26.6,45%,78,2.9,64%,16822,48637,16820,30,3038,5072,134987,4340,101,9474,4189,2703,0,16.07%,2782,1163,0,22.93%
2019-07-17,16804,18093,155,176709,7960,9318,2457608,11853,154,4258,1826,2,14,6,456,344,549,2,0%,0%,0%,0%,0%,6799,3990,0,22.05%,112429,82193,6190,5249,3769,3161,54321,500,34247,0.758,52%,9.8,136,223,26.3,46%,101,3.2,54%,12974,41968,12973,50,3701,5119,134741,4349,112,7960,4259,2787,0,21.48%,2540,1203,0,23.5%
2019-07-18,15908,17194,151,176398,10639,8825,2298794,11656,83,3742,1713,0,13,6,489,328,515,0,0%,0%,0%,0%,0%,6411,3745,0,21.78%,113270,83829,5759,4873,3490,2889,53879,500,31741,0.767,51%,10.3,134,216,26.9,45%,101,3.6,54%,12301,44695,12300,36,3646,4893,131703,4152,123,10639,4111,2653,0,21.57%,2300,1092,0,22.32%
2019-07-19,13170,14203,141,154168,9080,7058,2015782,9870,44,2852,1437,0,12,6,384,299,444,0,0%,0%,0%,0%,0%,5552,3261,0,22.96%,99883,74328,4777,4070,3017,2541,46491,500,27123,0.729,50%,10.9,142,237,27.9,45%,101,3.5,52%,9919,34667,9918,31,3015,4284,119501,3636,115,9080,3511,2261,0,22.79%,2041,1000,0,23.34%
2019-07-20,7567,8000,56,97565,15811,4654,827818,4939,43,2186,830,2,11,3,164,182,262,2,0%,0%,0%,0%,0%,4000,2048,0,25.6%,66246,49730,1648,1407,1601,1334,28070,500,13743,0.745,58%,12.2,103,217,54.3,55%,78,2.8,59%,6539,18185,6533,15,2905,1461,79380,1286,45,15811,2547,1601,0,24.48%,1453,447,0,30.6%
2019-07-21,7838,8247,40,97690,12557,4692,871474,5187,97,2136,827,0,11,4,154,166,240,0,0%,0%,0%,0%,0%,4400,2198,0,26.65%,65113,48685,1681,1406,1755,1408,29141,500,14551,0.789,57%,11.8,106,197,50,52%,86,3.5,58%,6773,23927,6772,14,4932,1474,73763,1305,28,12557,2952,1766,0,26.07%,1448,432,0,29.31%
2019-07-22,15717,16961,148,189986,21096,8291,2373565,11807,267,3151,1736,0,13,6,482,339,555,0,0%,0%,0%,0%,0%,8218,3914,0,23.08%,127550,92834,5961,5146,3636,3080,52839,500,32816,0.743,49%,11.2,140,226,31,45%,104,2.8,50%,11922,33546,11922,34,772,5039,156440,4255,116,21096,4380,2796,0,23.45%,3838,1118,0,22.19%
2019-07-23,15561,16778,180,185925,10801,8402,2317449,11516,208,3300,1753,1,12,8,494,341,532,1,0%,0%,0%,0%,0%,8642,3894,0,23.21%,124404,91883,5815,4959,3437,2950,52269,500,32053,0.758,50%,11.1,138,225,29.1,46%,102,3.6,52%,11850,42345,11849,38,8893,4928,143580,4185,151,10801,4246,2696,0,22.75%,4396,1198,0,24.31%
2019-07-24,15240,16411,139,179585,11574,8197,2242547,11134,149,3236,1890,2,13,5,442,342,540,1,0%,0%,0%,0%,0%,8232,3739,0,22.78%,116642,84272,5561,4716,3375,2848,54007,500,30976,0.753,50%,10.9,137,222,28.7,45%,102,3.7,52%,11627,42457,11625,26,3034,4784,137128,4110,119,11574,4100,2619,0,22.53%,4132,1120,0,23.41%
2019-07-25,15165,16364,143,180740,9978,8110,2278672,10754,148,3663,1799,0,11,5,473,314,521,0,0%,0%,0%,0%,0%,9219,3928,0,24%,115258,84104,5295,4566,3713,3106,56474,500,31834,0.755,50%,11,139,225,29.9,44%,106,3.7,52%,11788,43949,11787,39,3290,4576,136791,3837,109,9978,4780,2816,0,23.89%,4439,1112,0,24.3%
2019-07-26,14151,15165,119,160835,10770,8085,1888717,9395,44,3847,1878,1,12,5,378,288,500,1,0%,0%,0%,0%,0%,7618,3250,0,21.43%,105026,76222,4682,4006,2807,2398,48320,500,27690,0.685,53%,10.6,125,215,31.1,48%,92,3.2,55%,11138,35618,11137,31,2982,4027,125217,3451,94,10770,3682,2332,0,20.94%,3936,918,0,22.8%
2019-07-27,8797,9233,51,102424,7168,5266,930089,5205,56,2505,1467,0,9,4,174,192,303,0,0%,0%,0%,0%,0%,4781,2235,0,24.21%,62737,44664,1995,1690,1705,1410,35987,500,15792,0.73,57%,11.1,101,195,55.7,55%,82,2.4,57%,7732,18778,7720,16,229,1501,83646,1329,36,7168,2845,1803,0,23.32%,1936,432,0,28.78%
2019-07-28,8042,8453,53,98248,5164,4338,1019255,5505,57,1550,1341,0,11,4,184,186,279,0,0%,0%,0%,0%,0%,4981,2269,0,26.84%,62039,44312,2153,1869,1841,1515,32215,500,15532,0.785,51%,11.6,121,220,50,51%,99,3.1,51%,6923,21796,6923,15,3743,1530,76452,1340,39,5164,2973,1829,0,26.42%,2008,440,0,28.76%
2019-07-29,14874,15968,123,175473,7407,7948,2175883,10961,48,2981,1977,1,14,5,498,312,523,1,0%,0%,0%,0%,0%,8480,3803,0,23.82%,116475,85351,5376,4590,3511,2985,50111,500,29955,0.777,50%,11,136,222,30.8,45%,103,3.3,52%,11517,38304,11517,25,2488,4451,137169,3802,100,7407,4278,2694,0,23.39%,4202,1109,0,24.92%
2019-07-30,14970,16093,131,181340,11342,7862,2246126,10969,46,3121,1956,1,12,5,440,336,561,1,0%,0%,0%,0%,0%,8306,3759,0,23.36%,118256,86021,5832,4935,3459,2958,53793,500,30511,0.817,49%,11.3,140,226,29.1,45%,105,4.1,51%,11480,47212,11478,36,5334,4613,134128,3941,98,11342,4380,2662,0,23.19%,3926,1097,0,23.78%
